benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era,peak_memory_during_construction,peak_memory_during_reduction,agent_count_at_construction_complete,live_agent_count_watermark,representation,chunk_size,recycle_policy,vmrss_peak_mb,vmrss_current_end_mb,stop_reason
ep_annihilation,10000,sequential,0,0,true,0.000238,10000,42.017,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000229,10000,43.668,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000247,10000,40.519,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000248,10000,40.355,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000223,10000,44.924,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,sequential,0,0,true,0.000667,31623,47.439,0,1.0000,1.0000,0.0000,0,0,0,0,0,31623,0,0,0,,,63246,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,sequential,0,0,true,0.000668,31623,47.333,0,1.0000,1.0000,0.0000,0,0,0,0,0,31623,0,0,0,,,63246,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,sequential,0,0,true,0.000651,31623,48.569,0,1.0000,1.0000,0.0000,0,0,0,0,0,31623,0,0,0,,,63246,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,sequential,0,0,true,0.000681,31623,46.463,0,1.0000,1.0000,0.0000,0,0,0,0,0,31623,0,0,0,,,63246,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,sequential,0,0,true,0.000692,31623,45.705,0,1.0000,1.0000,0.0000,0,0,0,0,0,31623,0,0,0,,,63246,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,100000,sequential,0,0,true,0.001925,100000,51.940,0,1.0000,1.0000,0.0000,0,0,0,0,0,100000,0,0,0,,,200000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,100000,sequential,0,0,true,0.002110,100000,47.391,0,1.0000,1.0000,0.0000,0,0,0,0,0,100000,0,0,0,,,200000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,100000,sequential,0,0,true,0.002154,100000,46.417,0,1.0000,1.0000,0.0000,0,0,0,0,0,100000,0,0,0,,,200000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,100000,sequential,0,0,true,0.002108,100000,47.441,0,1.0000,1.0000,0.0000,0,0,0,0,0,100000,0,0,0,,,200000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,100000,sequential,0,0,true,0.002133,100000,46.887,0,1.0000,1.0000,0.0000,0,0,0,0,0,100000,0,0,0,,,200000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,316228,sequential,0,0,true,0.006748,316228,46.863,0,1.0000,1.0000,0.0000,0,0,0,0,0,316228,0,0,0,,,632456,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,316228,sequential,0,0,true,0.006857,316228,46.116,0,1.0000,1.0000,0.0000,0,0,0,0,0,316228,0,0,0,,,632456,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,316228,sequential,0,0,true,0.006601,316228,47.909,0,1.0000,1.0000,0.0000,0,0,0,0,0,316228,0,0,0,,,632456,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,316228,sequential,0,0,true,0.006738,316228,46.932,0,1.0000,1.0000,0.0000,0,0,0,0,0,316228,0,0,0,,,632456,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,316228,sequential,0,0,true,0.006862,316228,46.083,0,1.0000,1.0000,0.0000,0,0,0,0,0,316228,0,0,0,,,632456,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,1000000,sequential,0,0,true,0.021044,1000000,47.519,0,1.0000,1.0000,0.0000,0,0,0,0,0,1000000,0,0,0,,,2000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,1000000,sequential,0,0,true,0.020175,1000000,49.566,0,1.0000,1.0000,0.0000,0,0,0,0,0,1000000,0,0,0,,,2000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,1000000,sequential,0,0,true,0.020371,1000000,49.090,0,1.0000,1.0000,0.0000,0,0,0,0,0,1000000,0,0,0,,,2000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,1000000,sequential,0,0,true,0.020661,1000000,48.401,0,1.0000,1.0000,0.0000,0,0,0,0,0,1000000,0,0,0,,,2000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,1000000,sequential,0,0,true,0.020819,1000000,48.033,0,1.0000,1.0000,0.0000,0,0,0,0,0,1000000,0,0,0,,,2000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,3162278,sequential,0,0,true,0.065497,3162278,48.281,0,1.0000,1.0000,0.0000,0,0,0,0,0,3162278,0,0,0,,,6324556,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,3162278,sequential,0,0,true,0.068904,3162278,45.894,0,1.0000,1.0000,0.0000,0,0,0,0,0,3162278,0,0,0,,,6324556,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,3162278,sequential,0,0,true,0.068885,3162278,45.906,0,1.0000,1.0000,0.0000,0,0,0,0,0,3162278,0,0,0,,,6324556,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,3162278,sequential,0,0,true,0.070436,3162278,44.896,0,1.0000,1.0000,0.0000,0,0,0,0,0,3162278,0,0,0,,,6324556,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,3162278,sequential,0,0,true,0.071179,3162278,44.427,0,1.0000,1.0000,0.0000,0,0,0,0,0,3162278,0,0,0,,,6324556,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.224647,10000000,44.514,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.232099,10000000,43.085,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.227213,10000000,44.012,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.222377,10000000,44.969,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.228009,10000000,43.858,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000233,10000,42.900,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,2,0,true,0.002263,10000,4.420,1,0.1030,0.0515,0.8873,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000238,10000,42.052,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,2,0,true,0.002407,10000,4.155,1,0.0988,0.0494,0.8842,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000213,10000,46.882,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,2,0,true,0.002170,10000,4.608,1,0.0983,0.0491,0.8771,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000249,10000,40.177,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,2,0,true,0.002259,10000,4.427,1,0.1102,0.0551,0.8860,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000226,10000,44.267,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,2,0,true,0.002410,10000,4.150,1,0.0937,0.0469,0.8650,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,sequential,0,0,true,0.000696,31623,45.442,0,1.0000,1.0000,0.0000,0,0,0,0,0,31623,0,0,0,,,63246,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,local,2,0,true,0.008831,31623,3.581,1,0.0788,0.0394,0.8808,0,0,0,0,0,31623,0,0,0,,,63246,63246,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,sequential,0,0,true,0.000658,31623,48.089,0,1.0000,1.0000,0.0000,0,0,0,0,0,31623,0,0,0,,,63246,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,local,2,0,true,0.009181,31623,3.444,1,0.0716,0.0358,0.8747,0,0,0,0,0,31623,0,0,0,,,63246,63246,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,sequential,0,0,true,0.000710,31623,44.508,0,1.0000,1.0000,0.0000,0,0,0,0,0,31623,0,0,0,,,63246,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,local,2,0,true,0.010689,31623,2.959,1,0.0665,0.0332,0.9043,0,0,0,0,0,31623,0,0,0,,,63246,63246,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,sequential,0,0,true,0.000675,31623,46.828,0,1.0000,1.0000,0.0000,0,0,0,0,0,31623,0,0,0,,,63246,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,local,2,0,true,0.008801,31623,3.593,1,0.0767,0.0384,0.8795,0,0,0,0,0,31623,0,0,0,,,63246,63246,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,sequential,0,0,true,0.000660,31623,47.914,0,1.0000,1.0000,0.0000,0,0,0,0,0,31623,0,0,0,,,63246,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,local,2,0,true,0.009182,31623,3.444,1,0.0719,0.0359,0.8729,0,0,0,0,0,31623,0,0,0,,,63246,63246,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,100000,sequential,0,0,true,0.002047,100000,48.845,0,1.0000,1.0000,0.0000,0,0,0,0,0,100000,0,0,0,,,200000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,100000,local,2,0,true,0.024534,100000,4.076,1,0.0834,0.0417,0.9003,0,0,0,0,0,100000,0,0,0,,,200000,200000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,100000,sequential,0,0,true,0.002152,100000,46.473,0,1.0000,1.0000,0.0000,0,0,0,0,0,100000,0,0,0,,,200000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,100000,local,2,0,true,0.025093,100000,3.985,1,0.0858,0.0429,0.9066,0,0,0,0,0,100000,0,0,0,,,200000,200000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,100000,sequential,0,0,true,0.002078,100000,48.116,0,1.0000,1.0000,0.0000,0,0,0,0,0,100000,0,0,0,,,200000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,100000,local,2,0,true,0.024470,100000,4.087,1,0.0849,0.0425,0.8931,0,0,0,0,0,100000,0,0,0,,,200000,200000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,100000,sequential,0,0,true,0.002144,100000,46.648,0,1.0000,1.0000,0.0000,0,0,0,0,0,100000,0,0,0,,,200000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,100000,local,2,0,true,0.025191,100000,3.970,1,0.0851,0.0425,0.9023,0,0,0,0,0,100000,0,0,0,,,200000,200000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,100000,sequential,0,0,true,0.001975,100000,50.641,0,1.0000,1.0000,0.0000,0,0,0,0,0,100000,0,0,0,,,200000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,100000,local,2,0,true,0.023493,100000,4.257,1,0.0841,0.0420,0.8948,0,0,0,0,0,100000,0,0,0,,,200000,200000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,316228,sequential,0,0,true,0.006600,316228,47.910,0,1.0000,1.0000,0.0000,0,0,0,0,0,316228,0,0,0,,,632456,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,316228,local,2,0,true,0.106002,316228,2.983,1,0.0623,0.0311,0.9241,0,0,0,0,0,316228,0,0,0,,,632456,632456,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,316228,sequential,0,0,true,0.006761,316228,46.770,0,1.0000,1.0000,0.0000,0,0,0,0,0,316228,0,0,0,,,632456,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,316228,local,2,0,true,0.109706,316228,2.883,1,0.0616,0.0308,0.9265,0,0,0,0,0,316228,0,0,0,,,632456,632456,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,316228,sequential,0,0,true,0.007009,316228,45.120,0,1.0000,1.0000,0.0000,0,0,0,0,0,316228,0,0,0,,,632456,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,316228,local,2,0,true,0.103713,316228,3.049,1,0.0676,0.0338,0.9276,0,0,0,0,0,316228,0,0,0,,,632456,632456,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,316228,sequential,0,0,true,0.006787,316228,46.593,0,1.0000,1.0000,0.0000,0,0,0,0,0,316228,0,0,0,,,632456,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,316228,local,2,0,true,0.112509,316228,2.811,1,0.0603,0.0302,0.9273,0,0,0,0,0,316228,0,0,0,,,632456,632456,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,316228,sequential,0,0,true,0.007247,316228,43.635,0,1.0000,1.0000,0.0000,0,0,0,0,0,316228,0,0,0,,,632456,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,316228,local,2,0,true,0.119595,316228,2.644,1,0.0606,0.0303,0.9332,0,0,0,0,0,316228,0,0,0,,,632456,632456,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,1000000,sequential,0,0,true,0.020771,1000000,48.145,0,1.0000,1.0000,0.0000,0,0,0,0,0,1000000,0,0,0,,,2000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,1000000,local,2,0,true,0.500434,1000000,1.998,1,0.0415,0.0208,0.9475,0,0,0,0,0,1000000,0,0,0,,,2000000,2000000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,1000000,sequential,0,0,true,0.021117,1000000,47.355,0,1.0000,1.0000,0.0000,0,0,0,0,0,1000000,0,0,0,,,2000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,1000000,local,2,0,true,0.495162,1000000,2.020,1,0.0426,0.0213,0.9467,0,0,0,0,0,1000000,0,0,0,,,2000000,2000000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,1000000,sequential,0,0,true,0.022496,1000000,44.453,0,1.0000,1.0000,0.0000,0,0,0,0,0,1000000,0,0,0,,,2000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,1000000,local,2,0,true,0.499656,1000000,2.001,1,0.0450,0.0225,0.9481,0,0,0,0,0,1000000,0,0,0,,,2000000,2000000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,1000000,sequential,0,0,true,0.021839,1000000,45.790,0,1.0000,1.0000,0.0000,0,0,0,0,0,1000000,0,0,0,,,2000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,1000000,local,2,0,true,0.519641,1000000,1.924,1,0.0420,0.0210,0.9461,0,0,0,0,0,1000000,0,0,0,,,2000000,2000000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,1000000,sequential,0,0,true,0.023271,1000000,42.972,0,1.0000,1.0000,0.0000,0,0,0,0,0,1000000,0,0,0,,,2000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,1000000,local,2,0,true,0.506044,1000000,1.976,1,0.0460,0.0230,0.9489,0,0,0,0,0,1000000,0,0,0,,,2000000,2000000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,3162278,sequential,0,0,true,0.071661,3162278,44.128,0,1.0000,1.0000,0.0000,0,0,0,0,0,3162278,0,0,0,,,6324556,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,3162278,local,2,0,true,1.914666,3162278,1.652,1,0.0374,0.0187,0.9521,0,0,0,0,0,3162278,0,0,0,,,6324556,6324556,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,3162278,sequential,0,0,true,0.074581,3162278,42.401,0,1.0000,1.0000,0.0000,0,0,0,0,0,3162278,0,0,0,,,6324556,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,3162278,local,2,0,true,1.911827,3162278,1.654,1,0.0390,0.0195,0.9551,0,0,0,0,0,3162278,0,0,0,,,6324556,6324556,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,3162278,sequential,0,0,true,0.074727,3162278,42.318,0,1.0000,1.0000,0.0000,0,0,0,0,0,3162278,0,0,0,,,6324556,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,3162278,local,2,0,true,1.909521,3162278,1.656,1,0.0391,0.0196,0.9532,0,0,0,0,0,3162278,0,0,0,,,6324556,6324556,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,3162278,sequential,0,0,true,0.072492,3162278,43.622,0,1.0000,1.0000,0.0000,0,0,0,0,0,3162278,0,0,0,,,6324556,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,3162278,local,2,0,true,1.980857,3162278,1.596,1,0.0366,0.0183,0.9563,0,0,0,0,0,3162278,0,0,0,,,6324556,6324556,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,3162278,sequential,0,0,true,0.075331,3162278,41.978,0,1.0000,1.0000,0.0000,0,0,0,0,0,3162278,0,0,0,,,6324556,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,3162278,local,2,0,true,1.917301,3162278,1.649,1,0.0393,0.0196,0.9556,0,0,0,0,0,3162278,0,0,0,,,6324556,6324556,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.234565,10000000,42.632,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,local,2,0,true,7.477489,10000000,1.337,1,0.0314,0.0157,0.9596,0,0,0,0,0,10000000,0,0,0,,,20000000,20000000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.239108,10000000,41.822,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,local,2,0,true,7.507682,10000000,1.332,1,0.0318,0.0159,0.9619,0,0,0,0,0,10000000,0,0,0,,,20000000,20000000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.244487,10000000,40.902,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,local,2,0,true,7.454643,10000000,1.341,1,0.0328,0.0164,0.9626,0,0,0,0,0,10000000,0,0,0,,,20000000,20000000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.250589,10000000,39.906,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,local,2,0,true,7.487881,10000000,1.335,1,0.0335,0.0167,0.9625,0,0,0,0,0,10000000,0,0,0,,,20000000,20000000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.234628,10000000,42.621,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,local,2,0,true,7.450457,10000000,1.342,1,0.0315,0.0157,0.9625,0,0,0,0,0,10000000,0,0,0,,,20000000,20000000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000221,10000,45.228,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,4,0,true,0.002577,10000,3.880,1,0.0858,0.0214,0.8974,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000212,10000,47.148,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,4,0,true,0.002519,10000,3.969,1,0.0842,0.0210,0.8945,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000257,10000,38.971,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,4,0,true,0.002847,10000,3.512,1,0.0901,0.0225,0.8840,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000242,10000,41.374,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,4,0,true,0.002572,10000,3.889,1,0.0940,0.0235,0.8873,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000231,10000,43.234,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,4,0,true,0.002561,10000,3.905,1,0.0903,0.0226,0.8853,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,sequential,0,0,true,0.000703,31623,44.996,0,1.0000,1.0000,0.0000,0,0,0,0,0,31623,0,0,0,,,63246,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,local,4,0,true,0.010146,31623,3.117,1,0.0693,0.0173,0.9145,0,0,0,0,0,31623,0,0,0,,,63246,63246,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,sequential,0,0,true,0.000689,31623,45.904,0,1.0000,1.0000,0.0000,0,0,0,0,0,31623,0,0,0,,,63246,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,local,4,0,true,0.009860,31623,3.207,1,0.0699,0.0175,0.9220,0,0,0,0,0,31623,0,0,0,,,63246,63246,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,sequential,0,0,true,0.000704,31623,44.913,0,1.0000,1.0000,0.0000,0,0,0,0,0,31623,0,0,0,,,63246,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,local,4,0,true,0.010293,31623,3.072,1,0.0684,0.0171,0.9191,0,0,0,0,0,31623,0,0,0,,,63246,63246,dense,,disable-under-delta,0.000000,0.000000,
